gold_file,/Users/klalande/nltk_data/squad/data/dev-v2.0.json
total_gold,6078
predict_file,output/190304-04_13-predictions.json
total_pred,6078
EM,75.9295820993748
F1,78.76198418970101
AvNA,81.75386640342218
is_impossible,836
what,691
is_possible,353
who,150
when,107
where,58
how,139
other_is,2
which,51
why,21
other_did,3
other_are,1
other_do,1
other_has,1
other_can,2
other,6
other_could,1
is_possible,2283
what,2859
when,441
which,214
who,544
is_impossible,2332
how,434
where,202
other_is,4
other,7
why,61
other_name,2
other_did,4
other_can,5
other_was,7
other_if,2
other_does,1
other_are,1
is_possible,274
who,20
what,176
where,15
why,10
how,32
when,13
other_name,4
other,1
other_is,1
which,9
other_were,1
other_was,2
27,9
30,11
41,25
34,18
48,30
63,21
70,12
43,21
55,31
35,20
51,21
64,27
61,23
39,21
29,9
33,14
59,27
46,34
23,7
44,33
25,5
36,11
49,17
67,24
72,15
53,26
37,23
38,20
52,18
54,21
32,10
47,21
136,1
134,1
78,12
76,12
105,2
62,24
57,23
93,6
96,8
84,11
82,7
71,14
97,6
109,3
92,2
127,2
101,4
140,1
60,32
99,3
87,5
89,11
98,1
123,1
104,3
79,11
122,2
73,7
90,10
74,12
81,4
86,5
100,2
83,11
103,2
117,2
120,1
28,10
69,19
42,20
113,2
56,24
65,19
45,26
77,11
91,6
95,4
106,2
66,12
85,7
75,9
40,20
80,9
88,2
94,6
111,1
128,1
125,1
126,1
58,21
50,24
68,7
116,1
24,3
31,9
112,2
114,1
124,1
20,2
18,1
19,1
22,2
26,3
17,2
14,1
108,2
115,2
107,1
143,1
118,1
36,64
34,45
45,100
25,15
64,77
56,94
41,88
38,76
43,108
31,43
71,47
50,86
61,88
55,95
62,85
39,68
47,83
63,68
29,30
48,96
75,57
44,101
59,121
52,111
35,66
49,82
21,10
27,21
24,23
37,64
23,12
32,42
46,107
40,77
65,73
51,104
20,10
26,12
54,110
70,69
60,95
58,103
42,91
57,101
53,89
80,38
33,33
30,41
72,46
68,55
28,15
138,2
104,15
86,33
97,22
120,6
94,19
125,4
95,22
153,3
99,17
112,4
134,2
102,9
124,3
100,13
118,4
67,71
79,48
77,42
98,16
78,48
83,32
92,28
81,33
91,21
73,49
88,29
111,8
69,51
93,15
82,37
101,15
119,6
140,2
103,11
142,1
87,30
105,7
66,76
90,29
85,31
108,9
127,3
126,3
128,2
139,3
117,2
141,2
76,34
89,35
144,3
132,2
150,1
136,2
145,2
116,5
96,16
84,27
121,6
109,6
123,3
160,1
155,1
107,5
129,1
74,45
114,3
22,6
110,6
151,1
113,4
115,1
182,1
149,2
131,1
135,1
137,1
164,1
172,1
152,1
15,2
19,2
13,1
18,1
14,2
106,5
16,2
147,1
143,1
59,3
39,6
45,6
31,6
19,2
22,2
72,2
20,1
52,5
77,3
96,2
88,2
156,1
114,1
61,2
86,2
94,2
93,1
70,3
143,1
50,8
54,8
140,1
74,3
103,1
135,2
123,2
95,2
56,7
53,7
75,3
63,7
62,6
76,7
80,3
41,4
71,4
68,5
78,5
82,1
67,5
38,5
36,4
81,2
127,1
90,1
55,5
87,3
112,1
91,1
33,4
37,5
57,4
64,4
48,6
108,1
99,1
29,1
119,1
49,2
65,5
47,3
141,1
44,5
130,1
34,4
30,3
32,5
40,5
15,1
27,1
25,1
17,2
24,1
16,1
42,1
84,2
46,6
43,5
26,3
28,2
73,1
60,2
35,3
58,4
139,1
115,1
92,1
116,1
107,2
21,1
18,1
51,1
79,1
8,39
15,27
11,35
9,39
25,17
0,271
17,33
36,5
59,1
12,27
5,33
7,44
14,37
40,4
16,39
6,41
10,30
24,13
4,59
23,11
29,7
19,17
26,16
22,15
32,5
73,3
31,10
50,4
41,5
21,19
13,34
27,22
125,1
89,1
20,13
68,1
37,11
35,8
60,3
39,7
3,27
28,8
30,10
18,20
165,1
71,2
33,9
85,4
2,12
52,6
34,3
48,3
63,1
83,2
98,1
62,3
81,2
44,6
176,1
65,4
100,1
57,1
82,2
56,2
47,3
133,1
43,3
55,2
106,1
78,1
139,1
49,1
72,1
66,2
45,2
79,2
117,1
51,5
38,2
53,3
95,1
105,1
92,1
124,1
120,2
46,2
134,2
58,1
76,2
87,1
69,1
77,1
91,1
42,1
67,1
101,1
6,85
23,50
27,19
5,81
4,226
0,2334
21,55
9,103
11,105
3,59
17,71
12,102
16,81
7,95
15,90
13,83
8,82
14,66
10,87
18,83
28,22
19,50
20,49
39,12
31,24
34,17
47,8
29,30
41,8
26,24
25,38
22,45
38,13
52,5
24,28
1,7
2,22
33,18
42,8
45,5
37,10
46,10
35,16
76,2
53,2
30,16
49,5
61,5
133,1
36,13
59,2
48,9
65,4
32,17
81,4
40,8
54,3
55,7
44,11
57,6
70,4
96,1
93,1
104,2
60,3
50,4
58,2
85,3
102,2
74,2
114,2
66,4
113,2
63,2
123,1
101,1
118,1
84,1
88,1
117,2
116,2
71,1
56,2
124,1
43,5
87,1
107,1
67,1
62,2
82,1
79,1
51,4
73,2
125,1
94,2
92,1
77,1
75,2
68,1
99,1
32,3
55,3
7,7
59,1
90,5
27,4
18,6
44,9
23,6
6,4
12,5
21,7
69,3
31,3
50,3
39,4
57,2
33,6
16,2
14,2
53,4
10,6
20,4
54,2
89,1
48,3
71,2
26,6
13,5
58,1
138,2
38,4
36,3
81,2
17,4
24,6
45,5
9,2
25,7
98,2
41,1
30,3
96,1
86,1
29,5
34,5
3,4
83,1
84,4
150,1
60,3
19,4
92,1
2,1
80,4
149,1
73,3
64,2
43,2
125,1
28,2
35,2
146,1
77,2
75,2
52,2
120,2
117,1
65,1
4,4
112,1
37,3
49,2
51,2
95,1
105,2
15,5
62,2
5,1
88,4
78,3
56,1
68,1
46,1
106,1
8,2
123,1
164,1
111,2
40,3
11,1
42,1
63,1
115,1
85,1
22,2
74,1
97,1
79,2
134,1
